data_year,data_month,kind,fcc_dir,filename,url,size,sha256,s3_key,staged
2017,7,raw,2017,data-raw-2017-jul.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2017/data-raw-2017-jul.tar.gz,2306744486,79dff4889e6e5a037fa21869b80d419a1196bad676b07db231834ec534686ea7,fcc-mba/2017/raw/data-raw-2017-jul.tar.gz,1
2017,8,raw,2017,data-raw-2017-aug.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2017/data-raw-2017-aug.tar.gz,2438446075,16436fb7863b848becc4626bcc0e1c1ac8adbd0efed8749393467516905d7fd3,fcc-mba/2017/raw/data-raw-2017-aug.tar.gz,1
2017,9,raw,2017,data-raw-2017-sept.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2017/data-raw-2017-sept.tar.gz,2519425722,ad468183b0dabea7c889303cb426a3de0754d5e7056ea80c760ff8a253e1d11c,fcc-mba/2017/raw/data-raw-2017-sept.tar.gz,1
2017,10,raw,2017,data-raw-2017-oct.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2017/data-raw-2017-oct.tar.gz,2658264341,65b0efd70f879fdb92b0949f626b5f15f881dd47b9d9e9fb3ba114c6d4656d63,fcc-mba/2017/raw/data-raw-2017-oct.tar.gz,1
2017,11,raw,2017,data-raw-2017-nov.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2017/data-raw-2017-nov.tar.gz,2528869549,ec0a6fb76b68f9aff8dc10cb8be80ded1ca15f8b22c47b68eb9e9d58d95107a1,fcc-mba/2017/raw/data-raw-2017-nov.tar.gz,1
2017,12,raw,2017,data-raw-2017-dec.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2017/data-raw-2017-dec.tar.gz,2527177787,e1c65e6a32995c64a09ac3ac17bc699913873d8f509eb8e42d4b97e2a33b320e,fcc-mba/2017/raw/data-raw-2017-dec.tar.gz,1
2018,1,raw,2018,data-raw-2018-jan.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2018/data-raw-2018-jan.tar.gz,2465961667,363b255c18b0c1bbb8d03b2a058b4b4fcf27979d0df67319b190de5d9f1c933d,fcc-mba/2018/raw/data-raw-2018-jan.tar.gz,1
2018,2,raw,2018,data-raw-2018-feb.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2018/data-raw-2018-feb.tar.gz,2180918889,8b09238abc66215024cb373eb12161ecc1dae7af1c5a79b85306bb8aaf1c843b,fcc-mba/2018/raw/data-raw-2018-feb.tar.gz,1
2018,3,raw,2018,data-raw-2018-mar.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2018/data-raw-2018-mar.tar.gz,2338633039,2fcb494fb9177cc9782336d83a2945936752ae9fb707fd943b59c2d4bfdbc041,fcc-mba/2018/raw/data-raw-2018-mar.tar.gz,1
2018,4,raw,2018,data-raw-2018-apr.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2018/data-raw-2018-apr.tar.gz,2219040378,cc0fb19ec1a2c59ca5fb73effcd0348acead965df345499cab922e1f50a428eb,fcc-mba/2018/raw/data-raw-2018-apr.tar.gz,1
2018,5,raw,2018,data-raw-2018-may.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2018/data-raw-2018-may.tar.gz,2235989495,3876237c66eedd5b367f87f2f60983cd4f8e5a8c1dbe9902506cf60e2e396462,fcc-mba/2018/raw/data-raw-2018-may.tar.gz,1
2018,6,raw,2018,data-raw-2018-jun.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2018/data-raw-2018-jun.tar.gz,2116764457,9459d4f0e112193926b821f2d02654ad16f91c57b6957e99252623b185c77c86,fcc-mba/2018/raw/data-raw-2018-jun.tar.gz,1
2018,7,raw,2018,data-raw-2018-jul.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2018/data-raw-2018-jul.tar.gz,1684504323,13a4a3ba6d7c7f1ff46da0a6134186cfe479ecc0dcd43271f59ab02497fdaadb,fcc-mba/2018/raw/data-raw-2018-jul.tar.gz,1
2018,8,raw,2018,data-raw-2018-aug.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2018/data-raw-2018-aug.tar.gz,1655898555,a9b30cb846424388d936086d24c99ac97133838cac03c364509a05e45d25036f,fcc-mba/2018/raw/data-raw-2018-aug.tar.gz,1
2018,9,raw,2018,data-raw-2018-sept.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2018/data-raw-2018-sept.tar.gz,1937846625,d6041f83aa0ca8d780fc01fbcb49dc3498057880c8e9851dc0a36550e327cd95,fcc-mba/2018/raw/data-raw-2018-sept.tar.gz,1
2018,10,raw,2018,data-raw-2018-oct.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2018/data-raw-2018-oct.tar.gz,2049339894,00c9d9729a5ef28eea64d4302b82bd5f23f026fea8a2ff5ceb859f68e36235e6,fcc-mba/2018/raw/data-raw-2018-oct.tar.gz,1
2018,11,raw,2018,data-raw-2018-nov.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2018/data-raw-2018-nov.tar.gz,1946659227,78575f464f607693339c1dc99ea6f78db426f642db307aca35380dcd6d940bc6,fcc-mba/2018/raw/data-raw-2018-nov.tar.gz,1
2018,12,raw,2018,data-raw-2018-dec.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2018/data-raw-2018-dec.tar.gz,1988013027,5a72ee5c67eca831cd685c806fd00cb2157e3838b9f57e386a433e83bef1c44f,fcc-mba/2018/raw/data-raw-2018-dec.tar.gz,1
2019,1,raw,2019,data-raw-2019-jan.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2019/data-raw-2019-jan.tar.gz,1938089150,59a69e447a0aa7fa32ceb714d9a8c5c624d55765b5670b3700255d4bc347cf98,fcc-mba/2019/raw/data-raw-2019-jan.tar.gz,1
2019,2,raw,2019,data-raw-2019-feb.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2019/data-raw-2019-feb.tar.gz,1713904711,a85397aa5d5df405c2800b5a35b464e327e7a546f473b355ae1e328596fb8ec3,fcc-mba/2019/raw/data-raw-2019-feb.tar.gz,1
2019,3,raw,2019,data-raw-2019-mar.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2019/data-raw-2019-mar.tar.gz,1840853540,6187ad701137ae02cce15fc66e5479067bc2ccf09079a47b517f30d85bf21551,fcc-mba/2019/raw/data-raw-2019-mar.tar.gz,1
2019,4,raw,2019,data-raw-2019-apr.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2019/data-raw-2019-apr.tar.gz,1737134958,832e50ba7a704fedc42a63765eed5ef27b843e51d7eec53a533ea7f899f4ffaa,fcc-mba/2019/raw/data-raw-2019-apr.tar.gz,1
2019,5,raw,2019,data-raw-2019-may.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2019/data-raw-2019-may.tar.gz,2083324966,2ed9677982d206de58c765f7dc39d8c84482dc853e7380c2bcb484d93b279b69,fcc-mba/2019/raw/data-raw-2019-may.tar.gz,1
2019,6,raw,2019,data-raw-2019-jun.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2019/data-raw-2019-jun.tar.gz,2606492941,89f3e55edab7db2e938d178aaf6c87eff59a592b1fc593c19588dd97e9fc3a13,fcc-mba/2019/raw/data-raw-2019-jun.tar.gz,1
