data_year,data_month,dataset,technology,n_units,rc,tis
2018,4,raw,cable,638,54,0
2018,4,raw,dsl,804,103,0
2018,4,raw,fiber,359,3,0
2018,4,raw,overall,4196,476,0
2018,5,raw,cable,647,59,0
2018,5,raw,dsl,806,114,0
2018,5,raw,fiber,356,7,0
2018,5,raw,overall,4138,470,0
2018,6,raw,cable,657,71,0
2018,6,raw,dsl,790,108,0
2018,6,raw,fiber,352,5,0
2018,6,raw,overall,4014,478,0
2018,7,raw,cable,655,68,0
2018,7,raw,dsl,776,89,0
2018,7,raw,fiber,356,3,0
2018,7,raw,overall,3894,479,0
2018,8,raw,cable,679,73,0
2018,8,raw,dsl,798,104,0
2018,8,raw,fiber,355,6,0
2018,8,raw,overall,3809,535,0
2018,9,raw,cable,911,103,0
2018,9,raw,dsl,1310,143,0
2018,9,raw,fiber,513,6,0
2018,9,raw,overall,4865,665,0
2018,9,validated,cable,959,76,0
2018,9,validated,dsl,1388,124,0
2018,9,validated,fiber,539,11,0
2018,9,validated,overall,2886,211,0
2018,10,raw,cable,916,112,0
2018,10,raw,dsl,1355,141,0
2018,10,raw,fiber,526,11,0
2018,10,raw,overall,4875,642,0
2018,11,raw,cable,908,129,0
2018,11,raw,dsl,1312,145,0
2018,11,raw,fiber,507,14,0
2018,11,raw,overall,4759,668,0
2018,12,raw,cable,891,152,0
2018,12,raw,dsl,1262,152,0
2018,12,raw,fiber,500,35,0
2018,12,raw,overall,4666,720,0
2019,1,raw,cable,604,90,0
2019,1,raw,dsl,593,49,0
2019,1,raw,fiber,383,27,0
2019,1,raw,overall,4575,726,0
2019,2,raw,cable,604,86,0
2019,2,raw,dsl,592,52,0
2019,2,raw,fiber,382,27,0
2019,2,raw,overall,4462,722,0
2019,3,raw,cable,591,72,0
2019,3,raw,dsl,600,42,0
2019,3,raw,fiber,381,27,0
2019,3,raw,overall,4377,674,0
2019,4,raw,cable,574,71,0
2019,4,raw,dsl,597,47,0
2019,4,raw,fiber,391,23,0
2019,4,raw,overall,4228,658,0
2019,5,raw,cable,599,89,0
2019,5,raw,dsl,593,60,0
2019,5,raw,fiber,387,15,0
