data_year,data_month,dataset,n_units,rc,tis,technology
2018,6,raw,4014,478,0,overall
2018,7,raw,655,68,0,cable
2018,7,raw,776,89,0,dsl
2018,7,raw,356,3,0,fiber
2018,7,raw,3894,479,0,overall
2018,8,raw,679,73,0,cable
2018,8,raw,798,104,0,dsl
2018,8,raw,355,6,0,fiber
2018,8,raw,3809,535,0,overall
2018,9,raw,911,103,0,cable
2018,9,raw,1310,143,0,dsl
2018,9,raw,513,6,0,fiber
2018,9,raw,4865,665,0,overall
2018,9,validated,959,76,0,cable
2018,9,validated,1388,124,0,dsl
2018,9,validated,539,11,0,fiber
2018,9,validated,2886,211,0,overall
2018,10,raw,916,112,0,cable
2018,10,raw,1355,141,0,dsl
2018,10,raw,526,11,0,fiber
2018,10,raw,4875,642,0,overall
2018,11,raw,908,129,0,cable
2018,11,raw,1312,145,0,dsl
2018,11,raw,507,14,0,fiber
2018,11,raw,4759,668,0,overall
2018,12,raw,891,152,0,cable
2018,12,raw,1262,152,0,dsl
2018,12,raw,500,35,0,fiber
2018,12,raw,4666,720,0,overall
2019,1,raw,604,90,0,cable
2019,1,raw,593,49,0,dsl
2019,1,raw,383,27,0,fiber
2019,1,raw,4575,726,0,overall
2019,2,raw,604,86,0,cable
2019,2,raw,592,52,0,dsl
2019,2,raw,382,27,0,fiber
2019,2,raw,4462,722,0,overall
2019,3,raw,591,72,0,cable
2019,3,raw,600,42,0,dsl
2019,3,raw,381,27,0,fiber
2019,3,raw,4377,674,0,overall
2019,4,raw,574,71,0,cable
2019,4,raw,597,47,0,dsl
2019,4,raw,391,23,0,fiber
2019,4,raw,4228,658,0,overall
2019,5,raw,599,89,0,cable
2019,5,raw,593,60,0,dsl
2019,5,raw,387,15,0,fiber
2019,5,raw,4185,685,0,overall
2019,6,raw,613,50,0,cable
2019,6,raw,599,48,0,dsl
2019,6,raw,388,20,0,fiber
2019,6,raw,4102,593,0,overall
2019,7,raw,684,55,0,cable
2019,7,raw,694,66,0,dsl
2019,7,raw,543,29,0,fiber
2019,7,raw,4490,611,0,overall
2019,8,raw,829,51,0,cable
2019,8,raw,833,103,0,dsl
2019,8,raw,654,42,0,fiber
2019,8,raw,4892,667,0,overall
2019,9,raw,936,61,0,cable
2019,9,raw,960,99,0,dsl
2019,9,raw,696,47,0,fiber
2019,9,raw,5182,688,0,overall
2019,9,validated,963,41,0,cable
2019,9,validated,1014,111,0,dsl
2019,9,validated,697,43,0,fiber
2019,9,validated,2674,195,0,overall
2019,10,raw,936,70,0,cable
2019,10,raw,926,102,0,dsl
2019,10,raw,681,56,0,fiber
2019,10,raw,5054,699,0,overall
2019,11,raw,904,69,0,cable
2019,11,raw,904,101,0,dsl
2019,11,raw,659,52,0,fiber
2019,11,raw,4990,685,0,overall
